+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                   ;
+-------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; pdp11|dr11c0            ; 104   ; 26             ; 19           ; 26             ; 50     ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|xubm0         ; 94    ; 18             ; 2            ; 18             ; 91     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|xubl0         ; 77    ; 18             ; 4            ; 18             ; 57     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|xubr0         ; 57    ; 18             ; 2            ; 18             ; 17     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|kw0           ; 79    ; 38             ; 14           ; 38             ; 27     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|kl0           ; 100   ; 71             ; 8            ; 71             ; 29     ; 71              ; 71            ; 71              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|cr0           ; 69    ; 11             ; 0            ; 11             ; 68     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|mmu0          ; 170   ; 29             ; 12           ; 29             ; 131    ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|cpu0|fpuregs0 ; 73    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|cpu0|cpuregs0 ; 31    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0|cpu0          ; 155   ; 76             ; 17           ; 76             ; 100    ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|xu0               ; 90    ; 29             ; 1            ; 29             ; 70     ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|rh0|sd1           ; 57    ; 0              ; 1            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|rh0               ; 110   ; 30             ; 0            ; 30             ; 111    ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|rk0               ; 95    ; 27             ; 0            ; 27             ; 71     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|rl0               ; 89    ; 27             ; 0            ; 27             ; 71     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|csdr0             ; 74    ; 18             ; 1            ; 18             ; 33     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|kl3               ; 100   ; 36             ; 9            ; 36             ; 29     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|kl2               ; 100   ; 36             ; 9            ; 36             ; 29     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|kl1               ; 100   ; 36             ; 9            ; 36             ; 29     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|kl0               ; 100   ; 36             ; 9            ; 36             ; 29     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|kw0               ; 79    ; 27             ; 14           ; 27             ; 27     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|bootrom1          ; 38    ; 18             ; 2            ; 18             ; 17     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|bootrom0          ; 38    ; 18             ; 2            ; 18             ; 17     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|cr0               ; 70    ; 3              ; 0            ; 3              ; 68     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|mmu0              ; 197   ; 17             ; 18           ; 17             ; 135    ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pdp11|cpu0|fpuregs0     ; 73    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
